Event ID;Station ID;Nb.photos / videos;Start;End ;Event duration (h:mn:sec);Date;Station ID_1;Nb.ind;Nb.males;Nb.females;Nb.Adults;Nb.Subadults;Nb.Juvenils;Undetermined Adult;Activities;Mouvement;Comments;Photos/Vidéos;Other observations
9-1168;9;21;07:25:34;07:27:42;00:02:00;14/12/2016;G10;7;1;1;5;2;0;3;Travelling;D;;Photos;
8-296;8;28;10:45:11;11:00:04;00:14:00;23/12/2016;D11;11;3;3;8;2;1;2;Travelling;D;;Photos;
7-452;5;17;07:50:19;07:55:45;00:05:00;25/12/2016;F1;5;1;0;4;1;0;3;Travelling ;D;Manque 14 photos;Photos;
5-1586;7;84;09:32:29;09:38:14;00:05:00;25/12/2016;G4;25;4;8;13;8;4;1;;;;;
7-511;7;22;12:59:42;13:11:08;00:11:00;12/01/2017;F1;26;1;5;15;5;6;9;;;;;
7-515;7;14;06:42:19;07:05:34;00:23:00;13/01/2017;F1;12;1;6;7;3;2;0;;;;;
7-567;7;31;07:23:26;07:33:52;00:10:00;27/01/2017;F1;34;3;5;20;9;5;12;;;;;
7-603;7;6;06:46:20;06:49:09;00:02:00;03/02/2017;F1;0;;;0;;;;;;;;
8-382;8;1;13:42:04;13:42:04;00:00:00;13/02/2017;D11;0;;;0;;;;;;;;
8-383;8;74;08:16:37;08:21:24;00:04:00;14/02/2017;D11;21;1;3;13;6;2;9;;;;;
5-2044;5;157;12:44:52;12:59:06;00:14:00;17/02/2017;G4;21;6;6;14;5;2;2;;;;;
7-658a;7;12;13:48:45;14:06:56;00:18:00;17/02/2017;F1;18;3;3;12;3;3;6;;;;;
7-658b;7;37;14:26:04;15:20:33;00:54:29;17/02/2017;F1;16;1;1;11;0;5;9;;;;;
11-303;11;3;08:02:49;08:04:19;00:01:00;18/02/2017;G7;3;0;1;2;0;1;1;;;;;
9-1533;9;1;11:47:33;11:47:33;00:00:00;22/02/2017;G10;1;1;0;1;0;0;0;;;;;
9-1538;9;1;14:01:42;14:01:42;00:00:00;22/02/2017;G10;1;0;1;1;0;0;0;;;;;
9-1567;7;30;14:54:26;14:57:16;00:02:00;24/02/2017;G10;16;5;3;9;5;2;1;;;;;
7-674;9;6;17:48:02;17:53:04;00:05:00;24/02/2017;F1;13;0;2;6;4;3;4;;;;;
7-676;7;9;10:42:27;10:49:21;00:06:00;25/02/2017;F1;18;0;4;11;3;4;7;;;;;
12-491;12;8;11:49:26;11:54:22;00:04:00;26/02/2017;D4;20;2;5;10;6;4;3;;;;;
9-1574;12;10;10:51:28;10:53:17;00:01:00;27/02/2017;G10;8;0;1;3;5;0;2;;;;;
12-494;9;11;12:53:09;12:59:56;00:06:00;27/02/2017;D4;35;1;2;15;10;10;12;;;;;
7-685;7;14;11:16:20;11:31:12;00:14:00;28/02/2017;F1;14;0;4;9;1;4;5;;;;;
7-689;7;4;15:22:14;15:29:24;00:07:00;01/03/2017;F1;23;2;6;16;3;4;8;;;;;
9-1624;9;23;07:04:07;07:08:35;00:04:00;07/03/2017;G10;18;2;4;10;7;1;4;;;;;
9-1629;9;24;08:50:43;08:51:53;00:01:00;07/03/2017;G10;15;2;2;9;4;2;5;;;;;
8-429;8;1;13:15:28;13:15:28;00:00:00;09/03/2017;D11;0;;;0;;;;;;;;
7-715;7;5;10:13:56;10:18:09;00:04:00;11/03/2017;F1;12;2;1;6;4;2;3;;;;;
7-716;7;3;11:48:10;11:50:20;00:02:00;13/03/2017;F1;16;2;3;10;4;2;5;;;;;
8-453;8;3;17:06:30;17:10:14;00:03:00;15/03/2017;D11;1;0;0;1;0;0;1;;;;;
8-455;8;31;09:19:46;09:21:21;00:01:00;16/03/2017;D11;4;0;4;4;0;0;0;;;;;
8-457a;8;16;13:43:03;13:43:56;00:00:00;16/03/2017;D11;5;1;2;5;0;0;2;;;;;
8-457b;8;44;13:55:12;14:12:40;00:17:00;16/03/2017;D11;5;2;2;5;0;0;1;;;;;
5-2221;5;76;07:37:27;07:49:25;00:11:00;17/03/2017;G4;28;5;3;16;10;2;8;;;;;
8-463;8;1;16:59:12;16:59:12;00:00:00;17/03/2017;D11;1;0;1;1;0;0;0;;;;;
12-608;12;117;11:16:01;11:29:55;00:13:00;29/03/2017;D4;30;4;7;20;8;2;9;;;;;
5-2359;5;11;12:04:27;12:05:53;00:01:00;30/03/2017;G4;2;1;1;2;0;0;0;;;;;
5-2360;5;4;12:09:57;12:10:07;00:00:00;30/03/2017;G4;2;0;0;2;0;0;2;;;;;
5-2361;5;7;12:42:31;12:42:49;00:00:00;30/03/2017;G4;2;0;2;2;0;0;0;;;;;
8-549;8;4;12:13:12;12:13:39;00:00:00;05/04/2017;D11;2;1;1;2;0;0;0;;;;;
8-550;8;3;12:24:07;12:24:17;00:00:00;05/04/2017;D11;2;1;1;2;0;0;0;;;;;
8-556;8;41;07:22:56;07:26:56;00:04:00;06/04/2017;D11;27;4;13;17;9;1;0;;;;;
9-1801a;9;20;12:01:28;12:02:22;00:00:00;07/04/2017;G10;6;1;2;3;1;2;0;;;;;
9-1801b;9;51;12:16:26;12:18:22;00:01:00;07/04/2017;G10;21;4;4;12;7;2;4;;;;;
8-567a;8;4;14:54:28;14:54:38;00:00:00;09/04/2017;D11;0;;;0;;;;;;;;
8-567b;8;13;15:23:32;15:41:22;00:17:00;09/04/2017;D11;0;;;0;;;;;;;;
10-230;10;13;10:13:22;10:19:20;00:05:00;11/04/2017;G2;0;;;0;;;;;;;;
2-290;2;99;11:00:58;11:11:50;00:10:00;11/04/2017;D3;0;;;0;;;;;;;;
8-580;8;52;15:01:42;15:30:22;00:28:40;12/04/2017;D11;19;2;8;11;7;1;1;;;;;
10-26;10;1;09:45:56;09:45:56;00:00:00;13/04/2017;G2;0;;;0;;;;;;;;
2-293;2;77;15:30:10;15:34:12;00:04:00;13/04/2017;D3;0;;;0;;;;;;;;
12-641;12;21;16:05:44;16:11:25;00:05:00;14/04/2017;D4;11;2;3;5;4;2;0;;;;;
12-642;12;67;07:37:42;07:42:40;00:04:00;15/04/2017;D4;30;5;7;12;14;4;0;;;;;
8-588;8;4;07:46:38;07:46:51;00:00:00;15/04/2017;D11;0;;;0;;;;;;;;
7-780;7;11;07:49:04;07:56:08;00:07:00;17/04/2017;F1;33;4;8;18;10;5;6;;;;;
11-412;11;1;08:20:51;08:20:51;00:00:00;25/04/2017;G7;0;;;0;;;;;;;;
11-417;11;2;13:52:45;13:53:04;00:00:00;03/05/2017;G7;0;;;0;;;;;;;;
9-1919;9;17;14:28:58;14:30:09;00:01:00;06/05/2017;G10;6;1;3;5;0;1;1;;;;;
8-632;8;23;13:14:52;13:17:31;00:02:00;07/05/2017;D11;7;1;3;6;1;0;2;;;;;
8-635;8;11;07:36:41;07:41:52;00:05:00;08/05/2017;D11;0;;;0;;;;;;;;
5-2725;5;1;07:20:27;07:20:27;00:00:00;09/05/2017;G4;0;;;0;;;;;;;;
5-2726;5;5;07:26:03;07:26:17;00:00:00;09/05/2017;G4;0;;;0;;;;;;;;
5-2727;5;2;08:22:01;08:22:26;00:00:00;09/05/2017;G4;0;;;0;;;;;;;;
5-2728;5;1;09:58:18;09:58:18;00:00:00;09/05/2017;G4;0;;;0;;;;;;;;
7-854;7;4;11:15:53;11:16:42;00:00:00;14/05/2017;F1;0;;;0;;;;;;;;
5-2767;5;71;10:16:28;10:24:05;00:07:00;21/05/2017;G4;0;;;0;;;;;;;;
9-1996;7;7;10:05:32;10:06:33;00:01:00;22/05/2017;G10;0;;;0;;;;;;;;
9-1997;7;1;10:17:10;10:17:10;00:00:00;22/05/2017;G10;0;;;0;;;;;;;;
7-869a;9;1;10:39:45;10:39:45;00:00:00;22/05/2017;F1;0;;;0;;;;;;;;
7-869b;9;20;10:53:13;10:53:50;00:00:00;22/05/2017;F1;0;;;0;;;;;;;;
9-1999;9;3;11:08:29;11:08:31;00:00:00;22/05/2017;G10;0;;;0;;;;;;;;
7-873;7;71;13:38:29;13:51:03;00:12:00;25/05/2017;F1;0;;;0;;;;;;;;
5-2782;5;3;13:12:43;13:12:46;00:00:00;26/05/2017;G4;0;;;0;;;;;;;;
5-2788;5;219;13:37:24;14:26:16;00:48:52;27/05/2017;G4;0;;;0;;;;;;;;
5-2793;5;55;08:30:59;08:33:53;00:02:00;29/05/2017;G4;0;;;0;;;;;;;;
5-2794;5;69;10:16:32;10:19:24;00:02:00;29/05/2017;G4;0;;;0;;;;;;;;
8-664;8;7;15:20:50;15:21:13;00:00:00;29/05/2017;D11;0;;;0;;;;;;;;
8-666;8;34;17:28:34;17:42:52;00:14:00;29/05/2017;D11;0;;;0;;;;;;;;
8-668;8;2;07:26:17;07:26:21;00:00:00;30/05/2017;D11;0;;;0;;;;;;;;
7-877;7;1;08:36:46;08:36:46;00:00:00;02/06/2017;F1;0;;;0;;;;;;;;
5-2801;5;135;13:19:45;13:27:32;00:07:00;03/06/2017;G4;0;;;0;;;;;;;;
7-884;7;28;14:36:02;14:41:11;00:05:00;08/06/2017;F1;0;;;0;;;;;;;;
5-2812;5;43;09:35:51;09:38:23;00:02:00;11/06/2017;G4;0;;;0;;;;;;;;
5-2814;5;30;11:59:50;12:05:11;00:05:00;13/06/2017;G4;0;;;0;;;;;;;;
4-266;4;60;14:38:52;14:43:40;00:04:00;14/06/2017;D12;0;;;0;;;;;;;;
5-2818;5;55;13:13:27;13:21:07;00:07:00;15/06/2017;G4;0;;;0;;;;;;;;
7-900;7;61;09:51:31;10:00:37;00:09:00;17/06/2017;F1;0;;;0;;;;;;;;
5-2822;5;37;08:59:44;09:04:11;00:04:00;18/06/2017;G4;0;;;0;;;;;;;;
8-697;8;85;16:49:34;17:22:43;00:33:09;20/06/2017;D11;0;;;0;;;;;;;;
8-699;5;70;07:40:25;07:56:03;00:15:00;21/06/2017;D11;0;;;0;;;;;;;;
5-2830;8;182;15:03:48;15:37:15;00:33:27;21/06/2017;G4;0;;;0;;;;;;;;
